ID_Project,Title,Content,About,Image,AltText,Link
1,Nuevo Horizonte,La ruta de los psicodélicos y su promesa terapéutica,"Investigación sobre el auge de la investigación farmacéutica de psicodélicos con fines terapéuticos
",./portada_EV.png,Carta 1,https://a-testwebchg.vev.site/horizonte/
2,Health Economics,Indicadores de Salud del Sector Público de México,"Página web interactiva del gasto público en salud, en cuatro sexenios  |  1995-2017",./Portada_Salud.png,Carta 2,https://dvizhealtheconomics.z19.web.core.windows.net/
3,EcoEmissions,"Dashboard interactivo en Power BI
",Comparativo de emisiones de efecto invernadero,./DashboardFinal_PBi_CynthiaHerrera.png,Carta 3,./DashboardFinal_PBi_CynthiaHerrera.png
4,Health Trends Dashboard,"Dashboard interactivo en Power BI
",Explore visualmente la evolución de indicadores económicos clave a lo largo de diferentes periodos gubernamentales. ,./dashboard_salud.png,Carta 4,./dashboard_salud.png
5,Custom Viz,Gráficos Personalizados,"Generamos visualizaciones personalizadas en SVG y cualquier formato de imagen
",./circ.png,Carta 5,https://crearcirc.z19.web.core.windows.net/
